title,author_name,rating,ratings,year
Stuck-Up Suit,Vi Keeland,4.1,65530,2016
Seven Days in June,Gayle Forman,4.09,78605,2021
Chain Reaction,Simone Elkeles,4.09,62409,2011
Devil in Spring,Lisa Kleypas,4.09,34046,2017
Flowers from the Storm,Laura Kinsale,4.09,14924,1992
Love Irresistibly,Julie James,4.09,17950,2013
These Old Shades,Georgette Heyer,4.09,18068,1926
Fallen Crest High,Tijan,4.09,54947,2012
Until November,Aurora Rose Reynolds,4.09,50523,2013
Malibu Rising,Taylor Jenkins Reid,4.09,595597,2021
Thoughtless,S.C. Stephens,4.09,138379,2012
Lord of Scoundrels,Loretta Chase,4.09,34076,1995
Boyfriend Material,Alexis  Hall,4.09,81105,2020
Since You've Been Gone,Morgan Matson,4.09,109598,2014
This Heart of Mine,Lisa Kleypas,4.09,30843,2001
Counting Down with You,Tashie Bhuiyan,4.09,15123,2021
Boyfriend Material,Alexis  Hall,4.09,81106,2020
The Cruel Prince,Holly Black,4.09,721361,2018
Slave to Sensation,Nalini Singh,4.09,70446,2006
City of Fallen Angels,Cassandra Clare,4.09,559039,2011
Happily Ever After,Kiera Cass,4.09,56952,2015
Ain't She Sweet?,Susan Elizabeth Phillips,4.08,23538,2004
Arabella,Georgette Heyer,4.08,18588,1949
Sparrow,L.J. Shen,4.08,48585,2016
Hideaway,Penelope Douglas,4.08,58200,2017
City of Bones,Cassandra Clare,4.08,1860270,2007
The Scorpio Races,Maggie Stiefvater,4.08,105997,2011
The Sweetest Oblivion,Danielle Lori,4.08,143376,2018
Dragon Bound,Thea Harrison,4.08,48193,2011
The Last Boyfriend,Nora Roberts,4.08,46691,2012
Heartless,Marissa Meyer,4.08,151923,2016
Lick,Kylie Scott,4.08,84934,2013
Easy,Tammara Webber,4.08,225554,2012
Sense and Sensibility,Jane Austen,4.08,1092091,1811
The Iron Daughter,Julie Kagawa,4.08,124451,2010
How to Walk Away,Katherine Center,4.08,67507,2018
In Flight,R.K. Lilley,4.08,76825,2012
Visions of Heat,Nalini Singh,4.08,38315,2007
Cotillion,Georgette Heyer,4.08,15398,1953
Devil's Bride,Stephanie Laurens,4.08,20804,1998
Red Lily,Nora Roberts,4.08,38459,2005
Sorcery of Thorns,Margaret  Rogerson,4.08,96114,2019
The Winter King,C.L. Wilson,4.07,18752,2014
Seduction and Snacks,Tara Sivec,4.07,52342,2012
The Wrath and the Dawn,Renée Ahdieh,4.07,160644,2015
It Happened One Summer,Tessa Bailey,4.07,255193,2021
Carolina Moon,Nora Roberts,4.07,43099,2000
The Play,Elle Kennedy,4.07,59152,2019
Love on the Brain,Ali Hazelwood,4.07,87537,2022
Isn't It Bromantic?,Lyssa Kay Adams,4.07,20046,2021
A Lot like Love,Julie James,4.07,31866,2011
Perfect on Paper,Sophie Gonzales,4.07,21852,2021
To All the Boys I've Loved Before,Jenny Han,4.07,739461,2014
The Other Boleyn Girl,Philippa Gregory,4.07,482030,2001
Angels' Blood,Nalini Singh,4.07,87377,2009
I Kissed Shara Wheeler,Casey McQuiston,4.07,36892,2022
Seduce Me at Sunrise,Lisa Kleypas,4.07,39570,2008
Do You Want to Start a Scandal,Tessa Dare,4.07,18892,2016
Shadow of Night,Deborah Harkness,4.07,219870,2012
Slippery Creatures,K.J. Charles,4.07,7845,2020
Wildest Dreams,Kristen Ashley,4.07,31819,2011
The Summer of Broken Rules,K.L. Walther,4.07,28866,2021
The Fastest Way to Fall,Denise  Williams,4.07,13463,2021
"Take a Hint, Dani Brown",Talia Hibbert,4.06,75803,2020
Hello Stranger,Lisa Kleypas,4.06,23454,2018
Stepbrother Dearest,Penelope Ward,4.06,66152,2014
Beautiful Secret,Christina Lauren,4.06,32632,2015
The Suffragette Scandal,Courtney Milan,4.06,8335,2014
Beach Read,Emily Henry,4.06,607628,2020
When Beauty Tamed the Beast,Eloisa James,4.06,27254,2011
Shadow Spell,Nora Roberts,4.06,37196,2014
